3mL_27hr_1	3mL_27hr_0	NoFood_27hr_0	NoFood_27hr_1	WT_0	WT_1
3mL_27hr_1	1	0.909239476621646	0.0379499121819971	0.159296211896138	-0.744287648918363	-0.633775296106302
3mL_27hr_0	0.909239476621646	1	0.0349778313418159	0.154738019628808	-0.733861882733808	-0.638261568732647
NoFood_27hr_0	0.0379499121819971	0.0349778313418159	1	0.633109907177926	-0.587722442765171	-0.678515549615567
NoFood_27hr_1	0.159296211896138	0.154738019628808	0.633109907177926	1	-0.670563244183613	-0.747621017823854
WT_0	-0.744287648918363	-0.733861882733808	-0.587722442765171	-0.670563244183613	1	0.887270746997538
WT_1	-0.633775296106302	-0.638261568732647	-0.678515549615567	-0.747621017823854	0.887270746997538	1
